"Points","200m","300m","400m","500m","4x200m","4x400m"
"1010","24.81","39.86","56.02","1:13.73","1:41.42","3:48.73"
"1009","24.82","39.88","56.05","1:13.77","1:41.47","3:48.85"
"1008","24.83","39.90","56.08","1:13.81","1:41.53","3:48.98"
"1007","24.84","39.92","56.11","1:13.85","1:41.58","3:49.11"
"1006","24.85","39.94","56.13","1:13.88","1:41.64","3:49.23"
"1005","24.86","39.96","56.16","1:13.92","1:41.69","3:49.36"
"1004","24.87","39.98","56.19","1:13.96","1:41.75","3:49.49"
"1003","24.88","40.00","56.22","1:14.00","1:41.80","3:49.61"
"1002","24.90","40.02","56.25","1:14.04","1:41.86","3:49.74"
"1001","24.91","40.04","56.27","1:14.07","1:41.91","3:49.87"
"1000","24.92","40.06","56.30","1:14.11","1:41.97","3:49.99"
"999","24.93","40.07","56.33","1:14.15","1:42.02","3:50.12"
"998","24.94","40.09","56.36","1:14.19","1:42.08","3:50.25"
"997","24.95","40.11","56.39","1:14.23","1:42.13","3:50.38"
"996","24.96","40.13","56.41","1:14.27","1:42.19","3:50.50"
"995","24.98","40.15","56.44","1:14.30","1:42.24","3:50.63"
"994","24.99","40.17","56.47","1:14.34","1:42.30","3:50.76"
"993","25.00","40.19","56.50","1:14.38","1:42.35","3:50.89"
"992","25.01","40.21","56.52","1:14.42","1:42.41","3:51.01"
"991","25.02","40.23","56.55","1:14.46","1:42.46","3:51.14"
"990","25.03","40.25","56.58","1:14.50","1:42.52","3:51.27"
"989","25.04","40.27","56.61","1:14.53","1:42.57","3:51.40"
"988","25.05","40.29","56.64","1:14.57","1:42.63","3:51.52"
"987","25.07","40.31","56.66","1:14.61","1:42.68","3:51.65"
"986","25.08","40.33","56.69","1:14.65","1:42.74","3:51.78"
"985","25.09","40.35","56.72","1:14.69","1:42.79","3:51.91"
"984","25.10","40.37","56.75","1:14.73","1:42.85","3:52.03"
"983","25.11","40.39","56.78","1:14.76","1:42.90","3:52.16"
"982","25.12","40.41","56.81","1:14.80","1:42.96","3:52.29"
"981","25.13","40.43","56.83","1:14.84","1:43.02","3:52.42"
"980","25.15","40.45","56.86","1:14.88","1:43.07","3:52.55"
"979","25.16","40.47","56.89","1:14.92","1:43.13","3:52.68"
"978","25.17","40.49","56.92","1:14.96","1:43.18","3:52.80"
"977","25.18","40.51","56.95","1:15.00","1:43.24","3:52.93"
"976","25.19","40.53","56.97","1:15.03","1:43.29","3:53.06"
"975","25.20","40.55","57.00","1:15.07","1:43.35","3:53.19"
"974","25.21","40.56","57.03","1:15.11","1:43.41","3:53.32"
"973","25.23","40.58","57.06","1:15.15","1:43.46","3:53.45"
"972","25.24","40.60","57.09","1:15.19","1:43.52","3:53.58"
"971","25.25","40.62","57.12","1:15.23","1:43.57","3:53.70"
"970","25.26","40.64","57.14","1:15.27","1:43.63","3:53.83"
"969","25.27","40.66","57.17","1:15.31","1:43.68","3:53.96"
"968","25.28","40.68","57.20","1:15.34","1:43.74","3:54.09"
"967","25.29","40.70","57.23","1:15.38","1:43.80","3:54.22"
"966","25.31","40.72","57.26","1:15.42","1:43.85","3:54.35"
"965","25.32","40.74","57.29","1:15.46","1:43.91","3:54.48"
"964","25.33","40.76","57.31","1:15.50","1:43.96","3:54.61"
"963","25.34","40.78","57.34","1:15.54","1:44.02","3:54.74"
"962","25.35","40.80","57.37","1:15.58","1:44.08","3:54.87"
"961","25.36","40.82","57.40","1:15.62","1:44.13","3:55.00"
"960","25.37","40.84","57.43","1:15.66","1:44.19","3:55.13"
"959","25.39","40.86","57.46","1:15.69","1:44.24","3:55.26"
"958","25.40","40.88","57.48","1:15.73","1:44.30","3:55.39"
"957","25.41","40.90","57.51","1:15.77","1:44.36","3:55.52"
"956","25.42","40.92","57.54","1:15.81","1:44.41","3:55.65"
"955","25.43","40.94","57.57","1:15.85","1:44.47","3:55.78"
"954","25.44","40.96","57.60","1:15.89","1:44.53","3:55.91"
"953","25.46","40.98","57.63","1:15.93","1:44.58","3:56.04"
"952","25.47","41.00","57.65","1:15.97","1:44.64","3:56.17"
"951","25.48","41.02","57.68","1:16.01","1:44.69","3:56.30"
"950","25.49","41.04","57.71","1:16.05","1:44.75","3:56.43"
"949","25.50","41.06","57.74","1:16.09","1:44.81","3:56.56"
"948","25.51","41.08","57.77","1:16.12","1:44.86","3:56.69"
"947","25.53","41.10","57.80","1:16.16","1:44.92","3:56.82"
"946","25.54","41.12","57.83","1:16.20","1:44.98","3:56.95"
"945","25.55","41.14","57.85","1:16.24","1:45.03","3:57.08"
"944","25.56","41.16","57.88","1:16.28","1:45.09","3:57.21"
"943","25.57","41.18","57.91","1:16.32","1:45.15","3:57.34"
"942","25.58","41.20","57.94","1:16.36","1:45.20","3:57.47"
"941","25.59","41.22","57.97","1:16.40","1:45.26","3:57.60"
"940","25.61","41.24","58.00","1:16.44","1:45.32","3:57.73"
"939","25.62","41.26","58.03","1:16.48","1:45.37","3:57.86"
"938","25.63","41.28","58.06","1:16.52","1:45.43","3:57.99"
"937","25.64","41.30","58.08","1:16.56","1:45.49","3:58.13"
"936","25.65","41.32","58.11","1:16.60","1:45.54","3:58.26"
"935","25.66","41.34","58.14","1:16.64","1:45.60","3:58.39"
"934","25.68","41.36","58.17","1:16.68","1:45.66","3:58.52"
"933","25.69","41.38","58.20","1:16.72","1:45.72","3:58.65"
"932","25.70","41.40","58.23","1:16.76","1:45.77","3:58.78"
"931","25.71","41.42","58.26","1:16.79","1:45.83","3:58.91"
"930","25.72","41.44","58.29","1:16.83","1:45.89","3:59.05"
"929","25.74","41.46","58.32","1:16.87","1:45.94","3:59.18"
"928","25.75","41.48","58.34","1:16.91","1:46.00","3:59.31"
"927","25.76","41.50","58.37","1:16.95","1:46.06","3:59.44"
"926","25.77","41.52","58.40","1:16.99","1:46.11","3:59.57"
"925","25.78","41.54","58.43","1:17.03","1:46.17","3:59.71"
"924","25.79","41.56","58.46","1:17.07","1:46.23","3:59.84"
"923","25.81","41.58","58.49","1:17.11","1:46.29","3:59.97"
"922","25.82","41.60","58.52","1:17.15","1:46.34","4:00.10"
"921","25.83","41.63","58.55","1:17.19","1:46.40","4:00.23"
"920","25.84","41.65","58.58","1:17.23","1:46.46","4:00.37"
"919","25.85","41.67","58.60","1:17.27","1:46.52","4:00.50"
"918","25.86","41.69","58.63","1:17.31","1:46.57","4:00.63"
"917","25.88","41.71","58.66","1:17.35","1:46.63","4:00.76"
"916","25.89","41.73","58.69","1:17.39","1:46.69","4:00.90"
"915","25.90","41.75","58.72","1:17.43","1:46.75","4:01.03"
"914","25.91","41.77","58.75","1:17.47","1:46.80","4:01.16"
"913","25.92","41.79","58.78","1:17.51","1:46.86","4:01.30"
"912","25.94","41.81","58.81","1:17.55","1:46.92","4:01.43"
"911","25.95","41.83","58.84","1:17.59","1:46.98","4:01.56"
"910","25.96","41.85","58.87","1:17.63","1:47.03","4:01.69"
"909","25.97","41.87","58.90","1:17.67","1:47.09","4:01.83"
"908","25.98","41.89","58.93","1:17.71","1:47.15","4:01.96"
"907","25.99","41.91","58.95","1:17.75","1:47.21","4:02.09"
"906","26.01","41.93","58.98","1:17.79","1:47.26","4:02.23"
"905","26.02","41.95","59.01","1:17.83","1:47.32","4:02.36"
"904","26.03","41.97","59.04","1:17.87","1:47.38","4:02.49"
"903","26.04","41.99","59.07","1:17.91","1:47.44","4:02.63"
"902","26.05","42.01","59.10","1:17.95","1:47.50","4:02.76"
"901","26.07","42.03","59.13","1:17.99","1:47.55","4:02.90"
"900","26.08","42.05","59.16","1:18.03","1:47.61","4:03.03"
"899","26.09","42.07","59.19","1:18.07","1:47.67","4:03.16"
"898","26.10","42.09","59.22","1:18.11","1:47.73","4:03.30"
"897","26.11","42.12","59.25","1:18.15","1:47.79","4:03.43"
"896","26.13","42.14","59.28","1:18.19","1:47.84","4:03.57"
"895","26.14","42.16","59.31","1:18.23","1:47.90","4:03.70"
"894","26.15","42.18","59.34","1:18.27","1:47.96","4:03.83"
"893","26.16","42.20","59.37","1:18.31","1:48.02","4:03.97"
"892","26.17","42.22","59.40","1:18.35","1:48.08","4:04.10"
"891","26.18","42.24","59.42","1:18.40","1:48.13","4:04.24"
"890","26.20","42.26","59.45","1:18.44","1:48.19","4:04.37"
"889","26.21","42.28","59.48","1:18.48","1:48.25","4:04.51"
"888","26.22","42.30","59.51","1:18.52","1:48.31","4:04.64"
"887","26.23","42.32","59.54","1:18.56","1:48.37","4:04.78"
"886","26.24","42.34","59.57","1:18.60","1:48.43","4:04.91"
"885","26.26","42.36","59.60","1:18.64","1:48.49","4:05.05"
"884","26.27","42.38","59.63","1:18.68","1:48.54","4:05.18"
"883","26.28","42.40","59.66","1:18.72","1:48.60","4:05.32"
"882","26.29","42.42","59.69","1:18.76","1:48.66","4:05.45"
"881","26.30","42.45","59.72","1:18.80","1:48.72","4:05.59"
"880","26.32","42.47","59.75","1:18.84","1:48.78","4:05.72"
"879","26.33","42.49","59.78","1:18.88","1:48.84","4:05.86"
"878","26.34","42.51","59.81","1:18.92","1:48.90","4:05.99"
"877","26.35","42.53","59.84","1:18.96","1:48.95","4:06.13"
"876","26.36","42.55","59.87","1:19.00","1:49.01","4:06.26"
"875","26.38","42.57","59.90","1:19.05","1:49.07","4:06.40"
"874","26.39","42.59","59.93","1:19.09","1:49.13","4:06.54"
"873","26.40","42.61","59.96","1:19.13","1:49.19","4:06.67"
"872","26.41","42.63","59.99","1:19.17","1:49.25","4:06.81"
"871","26.43","42.65","1:00.02","1:19.21","1:49.31","4:06.94"
"870","26.44","42.67","1:00.05","1:19.25","1:49.37","4:07.08"
"869","26.45","42.70","1:00.08","1:19.29","1:49.43","4:07.22"
"868","26.46","42.72","1:00.11","1:19.33","1:49.48","4:07.35"
"867","26.47","42.74","1:00.14","1:19.37","1:49.54","4:07.49"
"866","26.49","42.76","1:00.17","1:19.41","1:49.60","4:07.62"
"865","26.50","42.78","1:00.20","1:19.46","1:49.66","4:07.76"
"864","26.51","42.80","1:00.23","1:19.50","1:49.72","4:07.90"
"863","26.52","42.82","1:00.26","1:19.54","1:49.78","4:08.03"
"862","26.53","42.84","1:00.29","1:19.58","1:49.84","4:08.17"
"861","26.55","42.86","1:00.32","1:19.62","1:49.90","4:08.31"
"860","26.56","42.88","1:00.35","1:19.66","1:49.96","4:08.44"
"859","26.57","42.90","1:00.38","1:19.70","1:50.02","4:08.58"
"858","26.58","42.93","1:00.41","1:19.74","1:50.08","4:08.72"
"857","26.60","42.95","1:00.44","1:19.78","1:50.14","4:08.86"
"856","26.61","42.97","1:00.47","1:19.83","1:50.20","4:08.99"
"855","26.62","42.99","1:00.50","1:19.87","1:50.25","4:09.13"
"854","26.63","43.01","1:00.53","1:19.91","1:50.31","4:09.27"
"853","26.64","43.03","1:00.56","1:19.95","1:50.37","4:09.41"
"852","26.66","43.05","1:00.59","1:19.99","1:50.43","4:09.54"
"851","26.67","43.07","1:00.62","1:20.03","1:50.49","4:09.68"
"850","26.68","43.09","1:00.65","1:20.07","1:50.55","4:09.82"
"849","26.69","43.12","1:00.68","1:20.12","1:50.61","4:09.96"
"848","26.71","43.14","1:00.71","1:20.16","1:50.67","4:10.09"
"847","26.72","43.16","1:00.74","1:20.20","1:50.73","4:10.23"
"846","26.73","43.18","1:00.77","1:20.24","1:50.79","4:10.37"
"845","26.74","43.20","1:00.80","1:20.28","1:50.85","4:10.51"
"844","26.75","43.22","1:00.83","1:20.32","1:50.91","4:10.65"
"843","26.77","43.24","1:00.86","1:20.36","1:50.97","4:10.78"
"842","26.78","43.26","1:00.89","1:20.41","1:51.03","4:10.92"
"841","26.79","43.28","1:00.92","1:20.45","1:51.09","4:11.06"
"840","26.80","43.31","1:00.95","1:20.49","1:51.15","4:11.20"
"839","26.82","43.33","1:00.98","1:20.53","1:51.21","4:11.34"
"838","26.83","43.35","1:01.01","1:20.57","1:51.27","4:11.48"
"837","26.84","43.37","1:01.04","1:20.61","1:51.33","4:11.62"
"836","26.85","43.39","1:01.07","1:20.66","1:51.39","4:11.75"
"835","26.87","43.41","1:01.10","1:20.70","1:51.45","4:11.89"
"834","26.88","43.43","1:01.13","1:20.74","1:51.51","4:12.03"
"833","26.89","43.46","1:01.16","1:20.78","1:51.57","4:12.17"
"832","26.90","43.48","1:01.19","1:20.82","1:51.63","4:12.31"
"831","26.91","43.50","1:01.23","1:20.87","1:51.69","4:12.45"
"830","26.93","43.52","1:01.26","1:20.91","1:51.75","4:12.59"
"829","26.94","43.54","1:01.29","1:20.95","1:51.81","4:12.73"
"828","26.95","43.56","1:01.32","1:20.99","1:51.87","4:12.87"
"827","26.96","43.58","1:01.35","1:21.03","1:51.93","4:13.01"
"826","26.98","43.60","1:01.38","1:21.07","1:52.00","4:13.15"
"825","26.99","43.63","1:01.41","1:21.12","1:52.06","4:13.29"
"824","27.00","43.65","1:01.44","1:21.16","1:52.12","4:13.43"
"823","27.01","43.67","1:01.47","1:21.20","1:52.18","4:13.57"
"822","27.03","43.69","1:01.50","1:21.24","1:52.24","4:13.71"
"821","27.04","43.71","1:01.53","1:21.29","1:52.30","4:13.85"
"820","27.05","43.73","1:01.56","1:21.33","1:52.36","4:13.99"
"819","27.06","43.76","1:01.59","1:21.37","1:52.42","4:14.13"
"818","27.08","43.78","1:01.62","1:21.41","1:52.48","4:14.27"
"817","27.09","43.80","1:01.65","1:21.45","1:52.54","4:14.41"
"816","27.10","43.82","1:01.69","1:21.50","1:52.60","4:14.55"
"815","27.11","43.84","1:01.72","1:21.54","1:52.66","4:14.69"
"814","27.13","43.86","1:01.75","1:21.58","1:52.72","4:14.83"
"813","27.14","43.88","1:01.78","1:21.62","1:52.79","4:14.97"
"812","27.15","43.91","1:01.81","1:21.67","1:52.85","4:15.11"
"811","27.16","43.93","1:01.84","1:21.71","1:52.91","4:15.25"
"810","27.18","43.95","1:01.87","1:21.75","1:52.97","4:15.39"
"809","27.19","43.97","1:01.90","1:21.79","1:53.03","4:15.54"
"808","27.20","43.99","1:01.93","1:21.84","1:53.09","4:15.68"
"807","27.21","44.01","1:01.96","1:21.88","1:53.15","4:15.82"
"806","27.23","44.04","1:01.99","1:21.92","1:53.21","4:15.96"
"805","27.24","44.06","1:02.03","1:21.96","1:53.27","4:16.10"
"804","27.25","44.08","1:02.06","1:22.01","1:53.34","4:16.24"
"803","27.26","44.10","1:02.09","1:22.05","1:53.40","4:16.38"
"802","27.28","44.12","1:02.12","1:22.09","1:53.46","4:16.53"
"801","27.29","44.14","1:02.15","1:22.13","1:53.52","4:16.67"
"800","27.30","44.17","1:02.18","1:22.18","1:53.58","4:16.81"
"799","27.31","44.19","1:02.21","1:22.22","1:53.64","4:16.95"
"798","27.33","44.21","1:02.24","1:22.26","1:53.70","4:17.09"
"797","27.34","44.23","1:02.27","1:22.30","1:53.77","4:17.24"
"796","27.35","44.25","1:02.31","1:22.35","1:53.83","4:17.38"
"795","27.37","44.28","1:02.34","1:22.39","1:53.89","4:17.52"
"794","27.38","44.30","1:02.37","1:22.43","1:53.95","4:17.66"
"793","27.39","44.32","1:02.40","1:22.48","1:54.01","4:17.81"
"792","27.40","44.34","1:02.43","1:22.52","1:54.07","4:17.95"
"791","27.42","44.36","1:02.46","1:22.56","1:54.14","4:18.09"
"790","27.43","44.38","1:02.49","1:22.60","1:54.20","4:18.23"
"789","27.44","44.41","1:02.53","1:22.65","1:54.26","4:18.38"
"788","27.45","44.43","1:02.56","1:22.69","1:54.32","4:18.52"
"787","27.47","44.45","1:02.59","1:22.73","1:54.38","4:18.66"
"786","27.48","44.47","1:02.62","1:22.78","1:54.45","4:18.81"
"785","27.49","44.49","1:02.65","1:22.82","1:54.51","4:18.95"
"784","27.51","44.52","1:02.68","1:22.86","1:54.57","4:19.09"
"783","27.52","44.54","1:02.71","1:22.91","1:54.63","4:19.24"
"782","27.53","44.56","1:02.75","1:22.95","1:54.69","4:19.38"
"781","27.54","44.58","1:02.78","1:22.99","1:54.76","4:19.52"
"780","27.56","44.60","1:02.81","1:23.04","1:54.82","4:19.67"
"779","27.57","44.63","1:02.84","1:23.08","1:54.88","4:19.81"
"778","27.58","44.65","1:02.87","1:23.12","1:54.94","4:19.96"
"777","27.59","44.67","1:02.90","1:23.17","1:55.01","4:20.10"
"776","27.61","44.69","1:02.93","1:23.21","1:55.07","4:20.24"
"775","27.62","44.71","1:02.97","1:23.25","1:55.13","4:20.39"
"774","27.63","44.74","1:03.00","1:23.30","1:55.19","4:20.53"
"773","27.65","44.76","1:03.03","1:23.34","1:55.26","4:20.68"
"772","27.66","44.78","1:03.06","1:23.38","1:55.32","4:20.82"
"771","27.67","44.80","1:03.09","1:23.43","1:55.38","4:20.97"
"770","27.68","44.83","1:03.12","1:23.47","1:55.44","4:21.11"
"769","27.70","44.85","1:03.16","1:23.51","1:55.51","4:21.26"
"768","27.71","44.87","1:03.19","1:23.56","1:55.57","4:21.40"
"767","27.72","44.89","1:03.22","1:23.60","1:55.63","4:21.55"
"766","27.74","44.91","1:03.25","1:23.64","1:55.70","4:21.69"
"765","27.75","44.94","1:03.28","1:23.69","1:55.76","4:21.84"
"764","27.76","44.96","1:03.32","1:23.73","1:55.82","4:21.98"
"763","27.77","44.98","1:03.35","1:23.77","1:55.88","4:22.13"
"762","27.79","45.00","1:03.38","1:23.82","1:55.95","4:22.27"
"761","27.80","45.03","1:03.41","1:23.86","1:56.01","4:22.42"
"760","27.81","45.05","1:03.44","1:23.91","1:56.07","4:22.56"
"759","27.83","45.07","1:03.47","1:23.95","1:56.14","4:22.71"
"758","27.84","45.09","1:03.51","1:23.99","1:56.20","4:22.85"
"757","27.85","45.12","1:03.54","1:24.04","1:56.26","4:23.00"
"756","27.87","45.14","1:03.57","1:24.08","1:56.33","4:23.15"
"755","27.88","45.16","1:03.60","1:24.13","1:56.39","4:23.29"
"754","27.89","45.18","1:03.63","1:24.17","1:56.45","4:23.44"
"753","27.90","45.20","1:03.67","1:24.21","1:56.52","4:23.58"
"752","27.92","45.23","1:03.70","1:24.26","1:56.58","4:23.73"
"751","27.93","45.25","1:03.73","1:24.30","1:56.64","4:23.88"
"750","27.94","45.27","1:03.76","1:24.35","1:56.71","4:24.02"
"749","27.96","45.29","1:03.80","1:24.39","1:56.77","4:24.17"
"748","27.97","45.32","1:03.83","1:24.43","1:56.83","4:24.32"
"747","27.98","45.34","1:03.86","1:24.48","1:56.90","4:24.46"
"746","28.00","45.36","1:03.89","1:24.52","1:56.96","4:24.61"
"745","28.01","45.38","1:03.92","1:24.57","1:57.02","4:24.76"
"744","28.02","45.41","1:03.96","1:24.61","1:57.09","4:24.91"
"743","28.03","45.43","1:03.99","1:24.66","1:57.15","4:25.05"
"742","28.05","45.45","1:04.02","1:24.70","1:57.22","4:25.20"
"741","28.06","45.48","1:04.05","1:24.74","1:57.28","4:25.35"
"740","28.07","45.50","1:04.09","1:24.79","1:57.34","4:25.50"
"739","28.09","45.52","1:04.12","1:24.83","1:57.41","4:25.64"
"738","28.10","45.54","1:04.15","1:24.88","1:57.47","4:25.79"
"737","28.11","45.57","1:04.18","1:24.92","1:57.54","4:25.94"
"736","28.13","45.59","1:04.22","1:24.97","1:57.60","4:26.09"
"735","28.14","45.61","1:04.25","1:25.01","1:57.66","4:26.24"
"734","28.15","45.63","1:04.28","1:25.06","1:57.73","4:26.38"
"733","28.17","45.66","1:04.31","1:25.10","1:57.79","4:26.53"
"732","28.18","45.68","1:04.35","1:25.14","1:57.86","4:26.68"
"731","28.19","45.70","1:04.38","1:25.19","1:57.92","4:26.83"
"730","28.21","45.72","1:04.41","1:25.23","1:57.99","4:26.98"
"729","28.22","45.75","1:04.44","1:25.28","1:58.05","4:27.13"
"728","28.23","45.77","1:04.48","1:25.32","1:58.11","4:27.27"
"727","28.25","45.79","1:04.51","1:25.37","1:58.18","4:27.42"
"726","28.26","45.82","1:04.54","1:25.41","1:58.24","4:27.57"
"725","28.27","45.84","1:04.57","1:25.46","1:58.31","4:27.72"
"724","28.29","45.86","1:04.61","1:25.50","1:58.37","4:27.87"
"723","28.30","45.88","1:04.64","1:25.55","1:58.44","4:28.02"
"722","28.31","45.91","1:04.67","1:25.59","1:58.50","4:28.17"
"721","28.33","45.93","1:04.70","1:25.64","1:58.57","4:28.32"
"720","28.34","45.95","1:04.74","1:25.68","1:58.63","4:28.47"
"719","28.35","45.98","1:04.77","1:25.73","1:58.70","4:28.62"
"718","28.37","46.00","1:04.80","1:25.77","1:58.76","4:28.77"
"717","28.38","46.02","1:04.84","1:25.82","1:58.83","4:28.92"
"716","28.39","46.05","1:04.87","1:25.86","1:58.89","4:29.07"
"715","28.41","46.07","1:04.90","1:25.91","1:58.96","4:29.22"
"714","28.42","46.09","1:04.94","1:25.95","1:59.02","4:29.37"
"713","28.43","46.11","1:04.97","1:26.00","1:59.09","4:29.52"
"712","28.45","46.14","1:05.00","1:26.04","1:59.15","4:29.67"
"711","28.46","46.16","1:05.03","1:26.09","1:59.22","4:29.82"
"710","28.47","46.18","1:05.07","1:26.13","1:59.28","4:29.97"
"709","28.49","46.21","1:05.10","1:26.18","1:59.35","4:30.12"
"708","28.50","46.23","1:05.13","1:26.22","1:59.41","4:30.27"
"707","28.51","46.25","1:05.17","1:26.27","1:59.48","4:30.42"
"706","28.53","46.28","1:05.20","1:26.32","1:59.54","4:30.57"
"705","28.54","46.30","1:05.23","1:26.36","1:59.61","4:30.73"
"704","28.55","46.32","1:05.27","1:26.41","1:59.67","4:30.88"
"703","28.57","46.35","1:05.30","1:26.45","1:59.74","4:31.03"
"702","28.58","46.37","1:05.33","1:26.50","1:59.81","4:31.18"
"701","28.59","46.39","1:05.37","1:26.54","1:59.87","4:31.33"
"700","28.61","46.42","1:05.40","1:26.59","1:59.94","4:31.48"
"699","28.62","46.44","1:05.43","1:26.63","2:00.00","4:31.63"
"698","28.63","46.46","1:05.47","1:26.68","2:00.07","4:31.79"
"697","28.65","46.49","1:05.50","1:26.73","2:00.14","4:31.94"
"696","28.66","46.51","1:05.53","1:26.77","2:00.20","4:32.09"
"695","28.67","46.53","1:05.57","1:26.82","2:00.27","4:32.24"
"694","28.69","46.56","1:05.60","1:26.86","2:00.33","4:32.40"
"693","28.70","46.58","1:05.63","1:26.91","2:00.40","4:32.55"
"692","28.71","46.60","1:05.67","1:26.95","2:00.47","4:32.70"
"691","28.73","46.63","1:05.70","1:27.00","2:00.53","4:32.85"
"690","28.74","46.65","1:05.73","1:27.05","2:00.60","4:33.01"
"689","28.76","46.67","1:05.77","1:27.09","2:00.66","4:33.16"
"688","28.77","46.70","1:05.80","1:27.14","2:00.73","4:33.31"
"687","28.78","46.72","1:05.83","1:27.18","2:00.80","4:33.47"
"686","28.80","46.74","1:05.87","1:27.23","2:00.86","4:33.62"
"685","28.81","46.77","1:05.90","1:27.28","2:00.93","4:33.77"
"684","28.82","46.79","1:05.93","1:27.32","2:01.00","4:33.93"
"683","28.84","46.81","1:05.97","1:27.37","2:01.06","4:34.08"
"682","28.85","46.84","1:06.00","1:27.42","2:01.13","4:34.23"
"681","28.86","46.86","1:06.04","1:27.46","2:01.20","4:34.39"
"680","28.88","46.88","1:06.07","1:27.51","2:01.26","4:34.54"
"679","28.89","46.91","1:06.10","1:27.55","2:01.33","4:34.70"
"678","28.91","46.93","1:06.14","1:27.60","2:01.40","4:34.85"
"677","28.92","46.96","1:06.17","1:27.65","2:01.46","4:35.00"
"676","28.93","46.98","1:06.20","1:27.69","2:01.53","4:35.16"
"675","28.95","47.00","1:06.24","1:27.74","2:01.60","4:35.31"
"674","28.96","47.03","1:06.27","1:27.79","2:01.66","4:35.47"
"673","28.97","47.05","1:06.31","1:27.83","2:01.73","4:35.62"
"672","28.99","47.07","1:06.34","1:27.88","2:01.80","4:35.78"
"671","29.00","47.10","1:06.37","1:27.93","2:01.86","4:35.93"
"670","29.02","47.12","1:06.41","1:27.97","2:01.93","4:36.09"
"669","29.03","47.15","1:06.44","1:28.02","2:02.00","4:36.24"
"668","29.04","47.17","1:06.48","1:28.07","2:02.07","4:36.40"
"667","29.06","47.19","1:06.51","1:28.11","2:02.13","4:36.55"
"666","29.07","47.22","1:06.54","1:28.16","2:02.20","4:36.71"
"665","29.08","47.24","1:06.58","1:28.21","2:02.27","4:36.86"
"664","29.10","47.26","1:06.61","1:28.25","2:02.34","4:37.02"
"663","29.11","47.29","1:06.65","1:28.30","2:02.40","4:37.18"
"662","29.13","47.31","1:06.68","1:28.35","2:02.47","4:37.33"
"661","29.14","47.34","1:06.72","1:28.39","2:02.54","4:37.49"
"660","29.15","47.36","1:06.75","1:28.44","2:02.61","4:37.64"
"659","29.17","47.38","1:06.78","1:28.49","2:02.67","4:37.80"
"658","29.18","47.41","1:06.82","1:28.54","2:02.74","4:37.96"
"657","29.20","47.43","1:06.85","1:28.58","2:02.81","4:38.11"
"656","29.21","47.46","1:06.89","1:28.63","2:02.88","4:38.27"
"655","29.22","47.48","1:06.92","1:28.68","2:02.95","4:38.43"
"654","29.24","47.50","1:06.96","1:28.72","2:03.01","4:38.58"
"653","29.25","47.53","1:06.99","1:28.77","2:03.08","4:38.74"
"652","29.27","47.55","1:07.02","1:28.82","2:03.15","4:38.90"
"651","29.28","47.58","1:07.06","1:28.87","2:03.22","4:39.06"
"650","29.29","47.60","1:07.09","1:28.91","2:03.29","4:39.21"
"649","29.31","47.62","1:07.13","1:28.96","2:03.35","4:39.37"
"648","29.32","47.65","1:07.16","1:29.01","2:03.42","4:39.53"
"647","29.34","47.67","1:07.20","1:29.06","2:03.49","4:39.69"
"646","29.35","47.70","1:07.23","1:29.10","2:03.56","4:39.84"
"645","29.36","47.72","1:07.27","1:29.15","2:03.63","4:40.00"
"644","29.38","47.75","1:07.30","1:29.20","2:03.70","4:40.16"
"643","29.39","47.77","1:07.34","1:29.25","2:03.77","4:40.32"
"642","29.41","47.79","1:07.37","1:29.29","2:03.83","4:40.48"
"641","29.42","47.82","1:07.41","1:29.34","2:03.90","4:40.64"
"640","29.43","47.84","1:07.44","1:29.39","2:03.97","4:40.79"
"639","29.45","47.87","1:07.48","1:29.44","2:04.04","4:40.95"
"638","29.46","47.89","1:07.51","1:29.48","2:04.11","4:41.11"
"637","29.48","47.92","1:07.54","1:29.53","2:04.18","4:41.27"
"636","29.49","47.94","1:07.58","1:29.58","2:04.25","4:41.43"
"635","29.50","47.97","1:07.61","1:29.63","2:04.32","4:41.59"
"634","29.52","47.99","1:07.65","1:29.68","2:04.38","4:41.75"
"633","29.53","48.01","1:07.68","1:29.72","2:04.45","4:41.91"
"632","29.55","48.04","1:07.72","1:29.77","2:04.52","4:42.07"
"631","29.56","48.06","1:07.75","1:29.82","2:04.59","4:42.23"
"630","29.58","48.09","1:07.79","1:29.87","2:04.66","4:42.39"
"629","29.59","48.11","1:07.82","1:29.92","2:04.73","4:42.55"
"628","29.60","48.14","1:07.86","1:29.96","2:04.80","4:42.71"
"627","29.62","48.16","1:07.90","1:30.01","2:04.87","4:42.87"
"626","29.63","48.19","1:07.93","1:30.06","2:04.94","4:43.03"
"625","29.65","48.21","1:07.97","1:30.11","2:05.01","4:43.19"
"624","29.66","48.24","1:08.00","1:30.16","2:05.08","4:43.35"
"623","29.68","48.26","1:08.04","1:30.21","2:05.15","4:43.51"
"622","29.69","48.28","1:08.07","1:30.25","2:05.22","4:43.67"
"621","29.70","48.31","1:08.11","1:30.30","2:05.29","4:43.83"
"620","29.72","48.33","1:08.14","1:30.35","2:05.36","4:44.00"
"619","29.73","48.36","1:08.18","1:30.40","2:05.43","4:44.16"
"618","29.75","48.38","1:08.21","1:30.45","2:05.50","4:44.32"
"617","29.76","48.41","1:08.25","1:30.50","2:05.57","4:44.48"
"616","29.78","48.43","1:08.28","1:30.55","2:05.64","4:44.64"
