"Points","HJ","PV","LJ","TJ","SP","Hept."
"1217","-","5.82","-","17.49","21.60","6395"
"1216","-","-","8.36","17.48","21.59","6390"
"1215","2.34","-","-","17.47","21.57","6385"
"1214","-","5.81","8.35","17.46","21.55","6381"
"1213","-","-","-","17.45","21.54","6376"
"1212","-","5.80","8.34","17.44","21.52","6371"
"1211","-","-","-","-","21.50","6366"
"1210","-","-","8.33","17.43","21.49","6361"
"1209","-","5.79","-","17.42","21.47","6357"
"1208","-","-","8.32","17.41","21.45","6352"
"1207","-","-","-","17.40","21.44","6347"
"1206","2.33","5.78","-","17.39","21.42","6342"
"1205","-","-","8.31","17.38","21.40","6337"
"1204","-","-","-","17.37","21.39","6333"
"1203","-","5.77","8.30","17.36","21.37","6328"
"1202","-","-","-","17.35","21.35","6323"
"1201","-","5.76","8.29","17.34","21.34","6318"
"1200","-","-","-","17.33","21.32","6313"
"1199","-","-","8.28","17.32","21.30","6309"
"1198","-","5.75","-","17.31","21.29","6304"
"1197","2.32","-","8.27","17.30","21.27","6299"
"1196","-","-","-","17.29","21.25","6294"
"1195","-","5.74","-","-","21.24","6289"
"1194","-","-","8.26","17.28","21.22","6285"
"1193","-","-","-","17.27","21.20","6280"
"1192","-","5.73","8.25","17.26","21.19","6275"
"1191","-","-","-","17.25","21.17","6270"
"1190","-","5.72","8.24","17.24","21.15","6265"
"1189","-","-","-","17.23","21.14","6261"
"1188","2.31","-","8.23","17.22","21.12","6256"
"1187","-","5.71","-","17.21","21.10","6251"
"1186","-","-","8.22","17.20","21.09","6246"
"1185","-","-","-","17.19","21.07","6241"
"1184","-","5.70","8.21","17.18","21.05","6237"
"1183","-","-","-","17.17","21.04","6232"
"1182","-","-","-","17.16","21.02","6227"
"1181","-","5.69","8.20","17.15","21.00","6222"
"1180","-","-","-","-","20.99","6217"
"1179","2.30","5.68","8.19","17.14","20.97","6213"
"1178","-","-","-","17.13","20.95","6208"
"1177","-","-","8.18","17.12","20.94","6203"
"1176","-","5.67","-","17.11","20.92","6198"
"1175","-","-","8.17","17.10","20.90","6193"
"1174","-","-","-","17.09","20.89","6189"
"1173","-","5.66","8.16","17.08","20.87","6184"
"1172","-","-","-","17.07","20.85","6179"
"1171","-","5.65","-","17.06","20.84","6174"
"1170","2.29","-","8.15","17.05","20.82","6169"
"1169","-","-","-","17.04","20.80","6165"
"1168","-","5.64","8.14","17.03","20.79","6160"
"1167","-","-","-","17.02","20.77","6155"
"1166","-","-","8.13","17.01","20.75","6150"
"1165","-","5.63","-","17.00","20.74","6145"
"1164","-","-","8.12","-","20.72","6140"
"1163","-","-","-","16.99","20.70","6136"
"1162","-","5.62","8.11","16.98","20.68","6131"
"1161","2.28","-","-","16.97","20.67","6126"
"1160","-","5.61","8.10","16.96","20.65","6121"
"1159","-","-","-","16.95","20.63","6116"
"1158","-","-","-","16.94","20.62","6112"
"1157","-","5.60","8.09","16.93","20.60","6107"
"1156","-","-","-","16.92","20.58","6102"
"1155","-","-","8.08","16.91","20.57","6097"
"1154","-","5.59","-","16.90","20.55","6092"
"1153","-","-","8.07","16.89","20.53","6088"
"1152","2.27","-","-","16.88","20.52","6083"
"1151","-","5.58","8.06","16.87","20.50","6078"
"1150","-","-","-","16.86","20.48","6073"
"1149","-","5.57","8.05","16.85","20.47","6068"
"1148","-","-","-","-","20.45","6063"
"1147","-","-","-","16.84","20.43","6059"
"1146","-","5.56","8.04","16.83","20.42","6054"
"1145","-","-","-","16.82","20.40","6049"
"1144","-","-","8.03","16.81","20.38","6044"
"1143","2.26","5.55","-","16.80","20.37","6039"
"1142","-","-","8.02","16.79","20.35","6035"
"1141","-","-","-","16.78","20.33","6030"
"1140","-","5.54","8.01","16.77","20.32","6025"
"1139","-","-","-","16.76","20.30","6020"
"1138","-","5.53","8.00","16.75","20.28","6015"
"1137","-","-","-","16.74","20.27","6010"
"1136","-","-","7.99","16.73","20.25","6006"
"1135","2.25","5.52","-","16.72","20.23","6001"
"1134","-","-","-","16.71","20.22","5996"
"1133","-","-","7.98","16.70","20.20","5991"
"1132","-","5.51","-","16.69","20.18","5986"
"1131","-","-","7.97","-","20.17","5981"
"1130","-","-","-","16.68","20.15","5977"
"1129","-","5.50","7.96","16.67","20.13","5972"
"1128","-","-","-","16.66","20.12","5967"
"1127","-","5.49","7.95","16.65","20.10","5962"
"1126","2.24","-","-","16.64","20.08","5957"
"1125","-","-","7.94","16.63","20.07","5953"
"1124","-","5.48","-","16.62","20.05","5948"
"1123","-","-","7.93","16.61","20.03","5943"
"1122","-","-","-","16.60","20.02","5938"
"1121","-","5.47","-","16.59","20.00","5933"
"1120","-","-","7.92","16.58","19.98","5928"
"1119","-","5.46","-","16.57","19.96","5924"
"1118","-","-","7.91","16.56","19.95","5919"
"1117","2.23","-","-","16.55","19.93","5914"
"1116","-","5.45","7.90","16.54","19.91","5909"
"1115","-","-","-","16.53","19.90","5904"
"1114","-","-","7.89","-","19.88","5899"
"1113","-","5.44","-","16.52","19.86","5895"
"1112","-","-","7.88","16.51","19.85","5890"
"1111","-","-","-","16.50","19.83","5885"
"1110","-","5.43","-","16.49","19.81","5880"
"1109","-","-","7.87","16.48","19.80","5875"
"1108","2.22","5.42","-","16.47","19.78","5870"
"1107","-","-","7.86","16.46","19.76","5866"
"1106","-","-","-","16.45","19.75","5861"
"1105","-","5.41","7.85","16.44","19.73","5856"
"1104","-","-","-","16.43","19.71","5851"
"1103","-","-","7.84","16.42","19.70","5846"
"1102","-","5.40","-","16.41","19.68","5841"
"1101","-","-","7.83","16.40","19.66","5837"
"1100","-","-","-","16.39","19.65","5832"
"1099","2.21","5.39","7.82","16.38","19.63","5827"
"1098","-","-","-","16.37","19.61","5822"
"1097","-","5.38","-","-","19.60","5817"
"1096","-","-","7.81","16.36","19.58","5812"
"1095","-","-","-","16.35","19.56","5808"
"1094","-","5.37","7.80","16.34","19.55","5803"
"1093","-","-","-","16.33","19.53","5798"
"1092","-","-","7.79","16.32","19.51","5793"
"1091","-","5.36","-","16.31","19.50","5788"
"1090","2.20","-","7.78","16.30","19.48","5783"
"1089","-","5.35","-","16.29","19.46","5779"
"1088","-","-","7.77","16.28","19.45","5774"
"1087","-","-","-","16.27","19.43","5769"
"1086","-","5.34","7.76","16.26","19.41","5764"
"1085","-","-","-","16.25","19.40","5759"
"1084","-","-","-","16.24","19.38","5754"
"1083","-","5.33","7.75","16.23","19.36","5749"
"1082","-","-","-","16.22","19.34","5745"
"1081","2.19","-","7.74","16.21","19.33","5740"
"1080","-","5.32","-","16.20","19.31","5735"
"1079","-","-","7.73","-","19.29","5730"
"1078","-","5.31","-","16.19","19.28","5725"
"1077","-","-","7.72","16.18","19.26","5720"
"1076","-","-","-","16.17","19.24","5716"
"1075","-","5.30","7.71","16.16","19.23","5711"
"1074","-","-","-","16.15","19.21","5706"
"1073","-","-","7.70","16.14","19.19","5701"
"1072","2.18","5.29","-","16.13","19.18","5696"
"1071","-","-","-","16.12","19.16","5691"
"1070","-","5.28","7.69","16.11","19.14","5686"
"1069","-","-","-","16.10","19.13","5682"
"1068","-","-","7.68","16.09","19.11","5677"
"1067","-","5.27","-","16.08","19.09","5672"
"1066","-","-","7.67","16.07","19.08","5667"
"1065","-","-","-","16.06","19.06","5662"
"1064","2.17","5.26","7.66","16.05","19.04","5657"
"1063","-","-","-","16.04","19.03","5653"
"1062","-","-","7.65","16.03","19.01","5648"
"1061","-","5.25","-","-","18.99","5643"
"1060","-","-","7.64","16.02","18.98","5638"
"1059","-","5.24","-","16.01","18.96","5633"
"1058","-","-","-","16.00","18.94","5628"
"1057","-","-","7.63","15.99","18.93","5623"
"1056","-","5.23","-","15.98","18.91","5619"
"1055","2.16","-","7.62","15.97","18.89","5614"
"1054","-","-","-","15.96","18.88","5609"
"1053","-","5.22","7.61","15.95","18.86","5604"
"1052","-","-","-","15.94","18.84","5599"
"1051","-","5.21","7.60","15.93","18.82","5594"
"1050","-","-","-","15.92","18.81","5589"
"1049","-","-","7.59","15.91","18.79","5585"
"1048","-","5.20","-","15.90","18.77","5580"
"1047","-","-","7.58","15.89","18.76","5575"
"1046","2.15","-","-","15.88","18.74","5570"
"1045","-","5.19","7.57","15.87","18.72","5565"
"1044","-","-","-","15.86","18.71","5560"
"1043","-","-","-","15.85","18.69","5555"
"1042","-","5.18","7.56","-","18.67","5551"
"1041","-","-","-","15.84","18.66","5546"
"1040","-","5.17","7.55","15.83","18.64","5541"
"1039","-","-","-","15.82","18.62","5536"
"1038","-","-","7.54","15.81","18.61","5531"
"1037","2.14","5.16","-","15.80","18.59","5526"
"1036","-","-","7.53","15.79","18.57","5521"
"1035","-","-","-","15.78","18.56","5517"
"1034","-","5.15","7.52","15.77","18.54","5512"
"1033","-","-","-","15.76","18.52","5507"
"1032","-","5.14","7.51","15.75","18.51","5502"
"1031","-","-","-","15.74","18.49","5497"
"1030","-","-","-","15.73","18.47","5492"
"1029","-","5.13","7.50","15.72","18.46","5487"
"1028","2.13","-","-","15.71","18.44","5482"
"1027","-","-","7.49","15.70","18.42","5478"
"1026","-","5.12","-","15.69","18.41","5473"
"1025","-","-","7.48","15.68","18.39","5468"
"1024","-","-","-","15.67","18.37","5463"
"1023","-","5.11","7.47","-","18.35","5458"
"1022","-","-","-","15.66","18.34","5453"
"1021","-","5.10","7.46","15.65","18.32","5448"
"1020","-","-","-","15.64","18.30","5444"
"1019","2.12","-","7.45","15.63","18.29","5439"
"1018","-","5.09","-","15.62","18.27","5434"
"1017","-","-","-","15.61","18.25","5429"
"1016","-","-","7.44","15.60","18.24","5424"
"1015","-","5.08","-","15.59","18.22","5419"
"1014","-","-","7.43","15.58","18.20","5414"
"1013","-","5.07","-","15.57","18.19","5409"
"1012","-","-","7.42","15.56","18.17","5405"
"1011","2.11","-","-","15.55","18.15","5400"
"1010","-","5.06","7.41","15.54","18.14","5395"
"1009","-","-","-","15.53","18.12","5390"
"1008","-","-","7.40","15.52","18.10","5385"
"1007","-","5.05","-","15.51","18.09","5380"
"1006","-","-","7.39","15.50","18.07","5375"
"1005","-","-","-","15.49","18.05","5370"
"1004","-","5.04","7.38","15.48","18.04","5366"
"1003","-","-","-","-","18.02","5361"
"1002","2.10","5.03","-","15.47","18.00","5356"
"1001","-","-","7.37","15.46","17.99","5351"
"1000","-","-","-","15.45","17.97","5346"
"999","-","5.02","7.36","15.44","17.95","5341"
"998","-","-","-","15.43","17.93","5336"
"997","-","-","7.35","15.42","17.92","5331"
"996","-","5.01","-","15.41","17.90","5327"
"995","-","-","7.34","15.40","17.88","5322"
"994","-","5.00","-","15.39","17.87","5317"
"993","2.09","-","7.33","15.38","17.85","5312"
"992","-","-","-","15.37","17.83","5307"
"991","-","4.99","7.32","15.36","17.82","5302"
"990","-","-","-","15.35","17.80","5297"
"989","-","-","7.31","15.34","17.78","5292"
"988","-","4.98","-","15.33","17.77","5288"
"987","-","-","-","15.32","17.75","5283"
"986","-","4.97","7.30","15.31","17.73","5278"
"985","-","-","-","15.30","17.72","5273"
"984","2.08","-","7.29","15.29","17.70","5268"
"983","-","4.96","-","-","17.68","5263"
"982","-","-","7.28","15.28","17.67","5258"
"981","-","-","-","15.27","17.65","5253"
"980","-","4.95","7.27","15.26","17.63","5248"
"979","-","-","-","15.25","17.62","5244"
"978","-","-","7.26","15.24","17.60","5239"
"977","-","4.94","-","15.23","17.58","5234"
"976","-","-","7.25","15.22","17.56","5229"
"975","2.07","4.93","-","15.21","17.55","5224"
"974","-","-","-","15.20","17.53","5219"
"973","-","-","7.24","15.19","17.51","5214"
"972","-","4.92","-","15.18","17.50","5209"
"971","-","-","7.23","15.17","17.48","5204"
"970","-","-","-","15.16","17.46","5200"
"969","-","4.91","7.22","15.15","17.45","5195"
"968","-","-","-","15.14","17.43","5190"
"967","2.06","4.90","7.21","15.13","17.41","5185"
"966","-","-","-","15.12","17.40","5180"
"965","-","-","7.20","15.11","17.38","5175"
"964","-","4.89","-","15.10","17.36","5170"
"963","-","-","7.19","15.09","17.35","5165"
"962","-","-","-","15.08","17.33","5160"
"961","-","4.88","7.18","-","17.31","5156"
"960","-","-","-","15.07","17.30","5151"
"959","-","4.87","-","15.06","17.28","5146"
"958","2.05","-","7.17","15.05","17.26","5141"
"957","-","-","-","15.04","17.25","5136"
"956","-","4.86","7.16","15.03","17.23","5131"
"955","-","-","-","15.02","17.21","5126"
"954","-","-","7.15","15.01","17.20","5121"
"953","-","4.85","-","15.00","17.18","5116"
"952","-","-","7.14","14.99","17.16","5112"
"951","-","4.84","-","14.98","17.14","5107"
"950","-","-","7.13","14.97","17.13","5102"
"949","2.04","-","-","14.96","17.11","5097"
"948","-","4.83","7.12","14.95","17.09","5092"
"947","-","-","-","14.94","17.08","5087"
"946","-","-","7.11","14.93","17.06","5082"
"945","-","4.82","-","14.92","17.04","5077"
"944","-","-","-","14.91","17.03","5072"
"943","-","-","7.10","14.90","17.01","5067"
"942","-","4.81","-","14.89","16.99","5063"
"941","-","-","7.09","14.88","16.98","5058"
"940","2.03","4.80","-","14.87","16.96","5053"
"939","-","-","7.08","-","16.94","5048"
"938","-","-","-","14.86","16.93","5043"
"937","-","4.79","7.07","14.85","16.91","5038"
"936","-","-","-","14.84","16.89","5033"
"935","-","-","7.06","14.83","16.88","5028"
"934","-","4.78","-","14.82","16.86","5023"
"933","-","-","7.05","14.81","16.84","5018"
"932","2.02","4.77","-","14.80","16.82","5014"
"931","-","-","7.04","14.79","16.81","5009"
"930","-","-","-","14.78","16.79","5004"
"929","-","4.76","-","14.77","16.77","4999"
"928","-","-","7.03","14.76","16.76","4994"
"927","-","-","-","14.75","16.74","4989"
"926","-","4.75","7.02","14.74","16.72","4984"
"925","-","-","-","14.73","16.71","4979"
"924","-","4.74","7.01","14.72","16.69","4974"
"923","2.01","-","-","14.71","16.67","4969"
"922","-","-","7.00","14.70","16.66","4964"
"921","-","4.73","-","14.69","16.64","4960"
"920","-","-","6.99","14.68","16.62","4955"
"919","-","-","-","14.67","16.61","4950"
"918","-","4.72","6.98","14.66","16.59","4945"
"917","-","-","-","14.65","16.57","4940"
"916","-","4.71","6.97","-","16.56","4935"
"915","-","-","-","14.64","16.54","4930"
"914","2.00","-","-","14.63","16.52","4925"
"913","-","4.70","6.96","14.62","16.51","4920"
"912","-","-","-","14.61","16.49","4915"
"911","-","-","6.95","14.60","16.47","4910"
"910","-","4.69","-","14.59","16.45","4906"
"909","-","-","6.94","14.58","16.44","4901"
"908","-","4.68","-","14.57","16.42","4896"
"907","-","-","6.93","14.56","16.40","4891"
"906","-","-","-","14.55","16.39","4886"
"905","1.99","4.67","6.92","14.54","16.37","4881"
"904","-","-","-","14.53","16.35","4876"
"903","-","-","6.91","14.52","16.34","4871"
"902","-","4.66","-","14.51","16.32","4866"
"901","-","-","6.90","14.50","16.30","4861"
"900","-","4.65","-","14.49","16.29","4856"
"899","-","-","6.89","14.48","16.27","4851"
"898","-","-","-","14.47","16.25","4847"
"897","1.98","4.64","-","14.46","16.24","4842"
"896","-","-","6.88","14.45","16.22","4837"
"895","-","-","-","14.44","16.20","4832"
"894","-","4.63","6.87","14.43","16.19","4827"
"893","-","-","-","-","16.17","4822"
"892","-","-","6.86","14.42","16.15","4817"
"891","-","4.62","-","14.41","16.13","4812"
"890","-","-","6.85","14.40","16.12","4807"
"889","-","4.61","-","14.39","16.10","4802"
"888","1.97","-","6.84","14.38","16.08","4797"
"887","-","-","-","14.37","16.07","4792"
"886","-","4.60","6.83","14.36","16.05","4787"
"885","-","-","-","14.35","16.03","4783"
"884","-","-","6.82","14.34","16.02","4778"
"883","-","4.59","-","14.33","16.00","4773"
"882","-","-","6.81","14.32","15.98","4768"
"881","-","4.58","-","14.31","15.97","4763"
"880","-","-","-","14.30","15.95","4758"
"879","1.96","-","6.80","14.29","15.93","4753"
"878","-","4.57","-","14.28","15.92","4748"
"877","-","-","6.79","14.27","15.90","4743"
"876","-","-","-","14.26","15.88","4738"
"875","-","4.56","6.78","14.25","15.87","4733"
"874","-","-","-","14.24","15.85","4728"
"873","-","4.55","6.77","14.23","15.83","4723"
"872","-","-","-","14.22","15.81","4718"
"871","-","-","6.76","14.21","15.80","4714"
"870","1.95","4.54","-","14.20","15.78","4709"
"869","-","-","6.75","14.19","15.76","4704"
"868","-","-","-","14.18","15.75","4699"
"867","-","4.53","6.74","-","15.73","4694"
"866","-","-","-","14.17","15.71","4689"
"865","-","4.52","-","14.16","15.70","4684"
"864","-","-","6.73","14.15","15.68","4679"
"863","-","-","-","14.14","15.66","4674"
"862","1.94","4.51","6.72","14.13","15.65","4669"
"861","-","-","-","14.12","15.63","4664"
"860","-","-","6.71","14.11","15.61","4659"
"859","-","4.50","-","14.10","15.60","4654"
"858","-","-","6.70","14.09","15.58","4649"
"857","-","4.49","-","14.08","15.56","4644"
"856","-","-","6.69","14.07","15.54","4640"
"855","-","-","-","14.06","15.53","4635"
"854","-","4.48","6.68","14.05","15.51","4630"
"853","1.93","-","-","14.04","15.49","4625"
"852","-","-","6.67","14.03","15.48","4620"
"851","-","4.47","-","14.02","15.46","4615"
"850","-","-","6.66","14.01","15.44","4610"
"849","-","4.46","-","14.00","15.43","4605"
"848","-","-","-","13.99","15.41","4600"
"847","-","-","6.65","13.98","15.39","4595"
"846","-","4.45","-","13.97","15.38","4590"
"845","-","-","6.64","13.96","15.36","4585"
"844","1.92","-","-","13.95","15.34","4580"
"843","-","4.44","6.63","13.94","15.33","4575"
"842","-","-","-","13.93","15.31","4570"
"841","-","4.43","6.62","-","15.29","4565"
"840","-","-","-","13.92","15.27","4561"
"839","-","-","6.61","13.91","15.26","4556"
"838","-","4.42","-","13.90","15.24","4551"
"837","-","-","6.60","13.89","15.22","4546"
"836","1.91","-","-","13.88","15.21","4541"
"835","-","4.41","6.59","13.87","15.19","4536"
"834","-","-","-","13.86","15.17","4531"
"833","-","4.40","6.58","13.85","15.16","4526"
"832","-","-","-","13.84","15.14","4521"
"831","-","-","-","13.83","15.12","4516"
"830","-","4.39","6.57","13.82","15.11","4511"
"829","-","-","-","13.81","15.09","4506"
"828","-","-","6.56","13.80","15.07","4501"
"827","1.90","4.38","-","13.79","15.06","4496"
"826","-","-","6.55","13.78","15.04","4491"
"825","-","4.37","-","13.77","15.02","4486"
"824","-","-","6.54","13.76","15.01","4481"
"823","-","-","-","13.75","14.99","4476"
"822","-","4.36","6.53","13.74","14.97","4471"
"821","-","-","-","13.73","14.95","4467"
"820","-","-","6.52","13.72","14.94","4462"
"819","-","4.35","-","13.71","14.92","4457"
"818","1.89","-","6.51","13.70","14.90","4452"
"817","-","4.34","-","13.69","14.89","4447"
"816","-","-","6.50","13.68","14.87","4442"
"815","-","-","-","13.67","14.85","4437"
"814","-","4.33","6.49","13.66","14.84","4432"
"813","-","-","-","-","14.82","4427"
"812","-","-","-","13.65","14.80","4422"
"811","-","4.32","6.48","13.64","14.79","4417"
"810","1.88","-","-","13.63","14.77","4412"
"809","-","4.31","6.47","13.62","14.75","4407"
"808","-","-","-","13.61","14.74","4402"
