"Points","200m","300m","400m","500m","4x200m","4x400m"
"1239","20.32","31.78","45.06","59.17","1:20.98","3:00.82"
"1238","-","31.79","45.07","59.19","1:21.00","3:00.88"
"1237","20.33","31.80","45.09","59.20","1:21.03","3:00.95"
"1236","-","31.81","45.10","59.22","1:21.05","3:01.01"
"1235","20.34","31.82","45.11","59.24","1:21.08","3:01.07"
"1234","20.35","31.83","45.13","59.26","1:21.11","3:01.14"
"1233","-","31.84","45.14","59.28","1:21.13","3:01.20"
"1232","20.36","31.85","45.16","59.30","1:21.16","3:01.27"
"1231","20.37","31.87","45.17","59.32","1:21.18","3:01.33"
"1230","-","31.88","45.19","59.34","1:21.21","3:01.40"
"1229","20.38","31.89","45.20","59.36","1:21.23","3:01.46"
"1228","20.39","31.90","45.21","59.37","1:21.26","3:01.53"
"1227","-","31.91","45.23","59.39","1:21.28","3:01.59"
"1226","20.40","31.92","45.24","59.41","1:21.31","3:01.65"
"1225","-","31.93","45.26","59.43","1:21.33","3:01.72"
"1224","20.41","31.94","45.27","59.45","1:21.36","3:01.78"
"1223","20.42","31.95","45.29","59.47","1:21.39","3:01.85"
"1222","-","31.96","45.30","59.49","1:21.41","3:01.91"
"1221","20.43","31.97","45.32","59.51","1:21.44","3:01.98"
"1220","20.44","31.98","45.33","59.53","1:21.46","3:02.04"
"1219","-","31.99","45.34","59.55","1:21.49","3:02.11"
"1218","20.45","32.00","45.36","59.56","1:21.51","3:02.17"
"1217","20.46","32.01","45.37","59.58","1:21.54","3:02.24"
"1216","-","32.03","45.39","59.60","1:21.57","3:02.30"
"1215","20.47","32.04","45.40","59.62","1:21.59","3:02.37"
"1214","-","32.05","45.42","59.64","1:21.62","3:02.43"
"1213","20.48","32.06","45.43","59.66","1:21.64","3:02.50"
"1212","20.49","32.07","45.45","59.68","1:21.67","3:02.56"
"1211","-","32.08","45.46","59.70","1:21.69","3:02.63"
"1210","20.50","32.09","45.47","59.72","1:21.72","3:02.69"
"1209","20.51","32.10","45.49","59.74","1:21.75","3:02.76"
