"Points","HJ","PV","LJ","TJ","SP","Pent."
"1258","-","4.96","7.18","15.37","20.80","5069"
"1257","-","-","-","15.36","20.79","5065"
"1256","-","-","-","15.35","20.77","5061"
"1255","-","4.95","7.17","15.34","20.76","5058"
"1254","-","-","-","15.33","20.74","5054"
"1253","-","-","7.16","15.32","20.72","5050"
"1252","-","4.94","-","15.31","20.71","5047"
"1251","-","-","7.15","15.30","20.69","5043"
"1250","-","-","-","15.29","20.68","5039"
"1249","2.03","4.93","7.14","15.28","20.66","5036"
"1248","-","-","-","15.27","20.64","5032"
"1247","-","-","7.13","15.26","20.63","5028"
"1246","-","-","-","15.25","20.61","5024"
"1245","-","4.92","-","15.24","20.60","5021"
"1244","-","-","7.12","15.23","20.58","5017"
"1243","-","-","-","15.22","20.56","5013"
"1242","-","4.91","7.11","15.21","20.55","5010"
"1241","-","-","-","15.20","20.53","5006"
"1240","-","-","7.10","15.19","20.52","5002"
"1239","2.02","4.90","-","15.18","20.50","4999"
"1238","-","-","7.09","15.17","20.48","4995"
"1237","-","-","-","15.16","20.47","4991"
"1236","-","4.89","7.08","15.15","20.45","4988"
"1235","-","-","-","15.14","20.44","4984"
"1234","-","-","-","15.13","20.42","4980"
"1233","-","4.88","7.07","15.12","20.40","4976"
"1232","-","-","-","15.11","20.39","4973"
"1231","-","-","7.06","-","20.37","4969"
"1230","-","4.87","-","15.10","20.36","4965"
"1229","2.01","-","7.05","15.09","20.34","4962"
"1228","-","-","-","15.08","20.32","4958"
"1227","-","4.86","7.04","15.07","20.31","4954"
"1226","-","-","-","15.06","20.29","4951"
"1225","-","-","-","15.05","20.28","4947"
"1224","-","4.85","7.03","15.04","20.26","4943"
"1223","-","-","-","15.03","20.25","4940"
"1222","-","-","7.02","15.02","20.23","4936"
"1221","-","-","-","15.01","20.21","4932"
"1220","-","4.84","7.01","15.00","20.20","4928"
"1219","2.00","-","-","14.99","20.18","4925"
"1218","-","-","7.00","14.98","20.17","4921"
"1217","-","4.83","-","14.97","20.15","4917"
"1216","-","-","6.99","14.96","20.13","4914"
"1215","-","-","-","14.95","20.12","4910"
"1214","-","4.82","-","14.94","20.10","4906"
"1213","-","-","6.98","14.93","20.09","4903"
"1212","-","-","-","14.92","20.07","4899"
"1211","-","4.81","6.97","14.91","20.05","4895"
"1210","-","-","-","14.90","20.04","4892"
"1209","1.99","-","6.96","14.89","20.02","4888"
"1208","-","4.80","-","14.88","20.01","4884"
"1207","-","-","6.95","14.87","19.99","4880"
"1206","-","-","-","14.86","19.97","4877"
"1205","-","4.79","6.94","14.85","19.96","4873"
"1204","-","-","-","14.84","19.94","4869"
"1203","-","-","-","14.83","19.93","4866"
"1202","-","4.78","6.93","14.82","19.91","4862"
"1201","-","-","-","14.81","19.89","4858"
"1200","1.98","-","6.92","14.80","19.88","4855"
"1199","-","-","-","14.79","19.86","4851"
"1198","-","4.77","6.91","-","19.85","4847"
"1197","-","-","-","14.78","19.83","4843"
"1196","-","-","6.90","14.77","19.81","4840"
"1195","-","4.76","-","14.76","19.80","4836"
"1194","-","-","6.89","14.75","19.78","4832"
"1193","-","-","-","14.74","19.77","4829"
"1192","-","4.75","-","14.73","19.75","4825"
"1191","-","-","6.88","14.72","19.73","4821"
"1190","1.97","-","-","14.71","19.72","4818"
"1189","-","4.74","6.87","14.70","19.70","4814"
"1188","-","-","-","14.69","19.69","4810"
"1187","-","-","6.86","14.68","19.67","4806"
"1186","-","4.73","-","14.67","19.65","4803"
"1185","-","-","6.85","14.66","19.64","4799"
"1184","-","-","-","14.65","19.62","4795"
"1183","-","4.72","6.84","14.64","19.61","4792"
"1182","-","-","-","14.63","19.59","4788"
"1181","-","-","-","14.62","19.57","4784"
"1180","1.96","4.71","6.83","14.61","19.56","4780"
"1179","-","-","-","14.60","19.54","4777"
"1178","-","-","6.82","14.59","19.53","4773"
"1177","-","4.70","-","14.58","19.51","4769"
"1176","-","-","6.81","14.57","19.49","4766"
"1175","-","-","-","14.56","19.48","4762"
"1174","-","-","6.80","14.55","19.46","4758"
"1173","-","4.69","-","14.54","19.45","4755"
"1172","-","-","-","14.53","19.43","4751"
"1171","-","-","6.79","14.52","19.41","4747"
"1170","1.95","4.68","-","14.51","19.40","4743"
"1169","-","-","6.78","14.50","19.38","4740"
"1168","-","-","-","14.49","19.37","4736"
"1167","-","4.67","6.77","14.48","19.35","4732"
"1166","-","-","-","14.47","19.33","4729"
"1165","-","-","6.76","14.46","19.32","4725"
"1164","-","4.66","-","14.45","19.30","4721"
"1163","-","-","6.75","-","19.29","4717"
"1162","-","-","-","14.44","19.27","4714"
"1161","-","4.65","-","14.43","19.25","4710"
"1160","1.94","-","6.74","14.42","19.24","4706"
"1159","-","-","-","14.41","19.22","4703"
"1158","-","4.64","6.73","14.40","19.21","4699"
"1157","-","-","-","14.39","19.19","4695"
"1156","-","-","6.72","14.38","19.17","4691"
"1155","-","4.63","-","14.37","19.16","4688"
"1154","-","-","6.71","14.36","19.14","4684"
"1153","-","-","-","14.35","19.13","4680"
"1152","-","4.62","6.70","14.34","19.11","4677"
"1151","-","-","-","14.33","19.09","4673"
"1150","1.93","-","-","14.32","19.08","4669"
"1149","-","-","6.69","14.31","19.06","4665"
"1148","-","4.61","-","14.30","19.05","4662"
"1147","-","-","6.68","14.29","19.03","4658"
"1146","-","-","-","14.28","19.01","4654"
"1145","-","4.60","6.67","14.27","19.00","4651"
"1144","-","-","-","14.26","18.98","4647"
"1143","-","-","6.66","14.25","18.97","4643"
"1142","-","4.59","-","14.24","18.95","4639"
"1141","-","-","6.65","14.23","18.93","4636"
"1140","1.92","-","-","14.22","18.92","4632"
"1139","-","4.58","-","14.21","18.90","4628"
"1138","-","-","6.64","14.20","18.89","4625"
"1137","-","-","-","14.19","18.87","4621"
"1136","-","4.57","6.63","14.18","18.85","4617"
"1135","-","-","-","14.17","18.84","4613"
"1134","-","-","6.62","14.16","18.82","4610"
"1133","-","4.56","-","14.15","18.81","4606"
"1132","-","-","6.61","14.14","18.79","4602"
"1131","1.91","-","-","14.13","18.77","4598"
"1130","-","4.55","6.60","14.12","18.76","4595"
"1129","-","-","-","14.11","18.74","4591"
"1128","-","-","6.59","14.10","18.73","4587"
"1127","-","4.54","-","14.09","18.71","4584"
"1126","-","-","-","14.08","18.69","4580"
"1125","-","-","6.58","14.07","18.68","4576"
"1124","-","4.53","-","14.06","18.66","4572"
"1123","-","-","6.57","-","18.65","4569"
"1122","-","-","-","14.05","18.63","4565"
"1121","1.90","-","6.56","14.04","18.61","4561"
"1120","-","4.52","-","14.03","18.60","4558"
"1119","-","-","6.55","14.02","18.58","4554"
"1118","-","-","-","14.01","18.57","4550"
"1117","-","4.51","6.54","14.00","18.55","4546"
"1116","-","-","-","13.99","18.53","4543"
"1115","-","-","-","13.98","18.52","4539"
"1114","-","4.50","6.53","13.97","18.50","4535"
"1113","-","-","-","13.96","18.49","4531"
"1112","-","-","6.52","13.95","18.47","4528"
"1111","1.89","4.49","-","13.94","18.45","4524"
"1110","-","-","6.51","13.93","18.44","4520"
"1109","-","-","-","13.92","18.42","4517"
"1108","-","4.48","6.50","13.91","18.41","4513"
"1107","-","-","-","13.90","18.39","4509"
"1106","-","-","6.49","13.89","18.37","4505"
"1105","-","4.47","-","13.88","18.36","4502"
"1104","-","-","-","13.87","18.34","4498"
"1103","-","-","6.48","13.86","18.33","4494"
"1102","-","4.46","-","13.85","18.31","4490"
"1101","1.88","-","6.47","13.84","18.29","4487"
"1100","-","-","-","13.83","18.28","4483"
"1099","-","4.45","6.46","13.82","18.26","4479"
"1098","-","-","-","13.81","18.25","4476"
"1097","-","-","6.45","13.80","18.23","4472"
"1096","-","4.44","-","13.79","18.21","4468"
"1095","-","-","6.44","13.78","18.20","4464"
"1094","-","-","-","13.77","18.18","4461"
"1093","-","-","-","13.76","18.17","4457"
"1092","-","4.43","6.43","13.75","18.15","4453"
"1091","1.87","-","-","13.74","18.13","4449"
"1090","-","-","6.42","13.73","18.12","4446"
"1089","-","4.42","-","13.72","18.10","4442"
"1088","-","-","6.41","13.71","18.09","4438"
"1087","-","-","-","13.70","18.07","4434"
"1086","-","4.41","6.40","13.69","18.05","4431"
"1085","-","-","-","13.68","18.04","4427"
"1084","-","-","6.39","13.67","18.02","4423"
"1083","-","4.40","-","13.66","18.01","4420"
"1082","1.86","-","-","13.65","17.99","4416"
"1081","-","-","6.38","13.64","17.97","4412"
"1080","-","4.39","-","13.63","17.96","4408"
"1079","-","-","6.37","13.62","17.94","4405"
"1078","-","-","-","13.61","17.93","4401"
"1077","-","4.38","6.36","-","17.91","4397"
"1076","-","-","-","13.60","17.89","4393"
"1075","-","-","6.35","13.59","17.88","4390"
"1074","-","4.37","-","13.58","17.86","4386"
"1073","-","-","6.34","13.57","17.85","4382"
"1072","1.85","-","-","13.56","17.83","4378"
"1071","-","4.36","6.33","13.55","17.81","4375"
"1070","-","-","-","13.54","17.80","4371"
"1069","-","-","-","13.53","17.78","4367"
"1068","-","4.35","6.32","13.52","17.77","4363"
"1067","-","-","-","13.51","17.75","4360"
"1066","-","-","6.31","13.50","17.73","4356"
"1065","-","4.34","-","13.49","17.72","4352"
"1064","-","-","6.30","13.48","17.70","4348"
"1063","-","-","-","13.47","17.69","4345"
"1062","1.84","-","6.29","13.46","17.67","4341"
"1061","-","4.33","-","13.45","17.65","4337"
"1060","-","-","6.28","13.44","17.64","4334"
"1059","-","-","-","13.43","17.62","4330"
"1058","-","4.32","-","13.42","17.61","4326"
"1057","-","-","6.27","13.41","17.59","4322"
"1056","-","-","-","13.40","17.57","4319"
"1055","-","4.31","6.26","13.39","17.56","4315"
"1054","-","-","-","13.38","17.54","4311"
"1053","-","-","6.25","13.37","17.53","4307"
"1052","1.83","4.30","-","13.36","17.51","4304"
"1051","-","-","6.24","13.35","17.49","4300"
"1050","-","-","-","13.34","17.48","4296"
"1049","-","4.29","6.23","13.33","17.46","4292"
"1048","-","-","-","13.32","17.44","4289"
"1047","-","-","6.22","13.31","17.43","4285"
"1046","-","4.28","-","13.30","17.41","4281"
"1045","-","-","-","13.29","17.40","4277"
"1044","-","-","6.21","13.28","17.38","4274"
"1043","1.82","4.27","-","13.27","17.36","4270"
"1042","-","-","6.20","13.26","17.35","4266"
"1041","-","-","-","13.25","17.33","4262"
"1040","-","4.26","6.19","13.24","17.32","4259"
"1039","-","-","-","13.23","17.30","4255"
"1038","-","-","6.18","13.22","17.28","4251"
"1037","-","4.25","-","13.21","17.27","4247"
"1036","-","-","6.17","13.20","17.25","4244"
"1035","-","-","-","13.19","17.24","4240"
"1034","-","4.24","-","13.18","17.22","4236"
"1033","1.81","-","6.16","13.17","17.20","4232"
"1032","-","-","-","13.16","17.19","4229"
"1031","-","4.23","6.15","13.15","17.17","4225"
"1030","-","-","-","13.14","17.16","4221"
"1029","-","-","6.14","13.13","17.14","4217"
"1028","-","-","-","13.12","17.12","4214"
"1027","-","4.22","6.13","13.11","17.11","4210"
"1026","-","-","-","13.10","17.09","4206"
"1025","-","-","6.12","13.09","17.08","4202"
"1024","-","4.21","-","13.08","17.06","4199"
"1023","1.80","-","6.11","13.07","17.04","4195"
"1022","-","-","-","13.06","17.03","4191"
"1021","-","4.20","-","13.05","17.01","4187"
"1020","-","-","6.10","-","17.00","4184"
"1019","-","-","-","13.04","16.98","4180"
"1018","-","4.19","6.09","13.03","16.96","4176"
"1017","-","-","-","13.02","16.95","4172"
"1016","-","-","6.08","13.01","16.93","4169"
"1015","-","4.18","-","13.00","16.92","4165"
"1014","-","-","6.07","12.99","16.90","4161"
"1013","1.79","-","-","12.98","16.88","4157"
"1012","-","4.17","6.06","12.97","16.87","4153"
"1011","-","-","-","12.96","16.85","4150"
"1010","-","-","6.05","12.95","16.84","4146"
"1009","-","4.16","-","12.94","16.82","4142"
"1008","-","-","-","12.93","16.80","4138"
"1007","-","-","6.04","12.92","16.79","4135"
"1006","-","4.15","-","12.91","16.77","4131"
"1005","-","-","6.03","12.90","16.76","4127"
"1004","1.78","-","-","12.89","16.74","4123"
"1003","-","4.14","6.02","12.88","16.72","4120"
"1002","-","-","-","12.87","16.71","4116"
"1001","-","-","6.01","12.86","16.69","4112"
"1000","-","4.13","-","12.85","16.67","4108"
"999","-","-","6.00","12.84","16.66","4105"
"998","-","-","-","12.83","16.64","4101"
"997","-","4.12","-","12.82","16.63","4097"
"996","-","-","5.99","12.81","16.61","4093"
"995","-","-","-","12.80","16.59","4090"
"994","1.77","4.11","5.98","12.79","16.58","4086"
"993","-","-","-","12.78","16.56","4082"
"992","-","-","5.97","12.77","16.55","4078"
"991","-","-","-","12.76","16.53","4074"
"990","-","4.10","5.96","12.75","16.51","4071"
"989","-","-","-","12.74","16.50","4067"
"988","-","-","5.95","12.73","16.48","4063"
"987","-","4.09","-","12.72","16.47","4059"
"986","-","-","5.94","12.71","16.45","4056"
"985","-","-","-","12.70","16.43","4052"
"984","1.76","4.08","-","12.69","16.42","4048"
"983","-","-","5.93","12.68","16.40","4044"
"982","-","-","-","12.67","16.39","4041"
"981","-","4.07","5.92","12.66","16.37","4037"
"980","-","-","-","12.65","16.35","4033"
"979","-","-","5.91","12.64","16.34","4029"
"978","-","4.06","-","12.63","16.32","4026"
"977","-","-","5.90","12.62","16.31","4022"
"976","-","-","-","12.61","16.29","4018"
"975","-","4.05","5.89","12.60","16.27","4014"
"974","1.75","-","-","12.59","16.26","4010"
"973","-","-","5.88","12.58","16.24","4007"
"972","-","4.04","-","12.57","16.23","4003"
"971","-","-","-","12.56","16.21","3999"
"970","-","-","5.87","12.55","16.19","3995"
"969","-","4.03","-","12.54","16.18","3992"
"968","-","-","5.86","12.53","16.16","3988"
"967","-","-","-","12.52","16.14","3984"
"966","-","4.02","5.85","12.51","16.13","3980"
"965","1.74","-","-","12.50","16.11","3977"
"964","-","-","5.84","12.49","16.10","3973"
"963","-","4.01","-","12.48","16.08","3969"
"962","-","-","5.83","12.47","16.06","3965"
"961","-","-","-","12.46","16.05","3961"
"960","-","4.00","5.82","12.45","16.03","3958"
"959","-","-","-","12.44","16.02","3954"
"958","-","-","-","12.43","16.00","3950"
"957","-","3.99","5.81","12.42","15.98","3946"
"956","-","-","-","12.41","15.97","3943"
"955","1.73","-","5.80","12.40","15.95","3939"
"954","-","3.98","-","12.39","15.94","3935"
"953","-","-","5.79","12.38","15.92","3931"
"952","-","-","-","12.37","15.90","3927"
"951","-","3.97","5.78","12.36","15.89","3924"
"950","-","-","-","12.35","15.87","3920"
"949","-","-","5.77","12.34","15.86","3916"
"948","-","-","-","12.33","15.84","3912"
"947","-","3.96","5.76","12.32","15.82","3909"
"946","-","-","-","12.31","15.81","3905"
"945","1.72","-","-","12.30","15.79","3901"
"944","-","3.95","5.75","12.29","15.78","3897"
"943","-","-","-","12.28","15.76","3893"
"942","-","-","5.74","12.27","15.74","3890"
"941","-","3.94","-","12.26","15.73","3886"
"940","-","-","5.73","12.25","15.71","3882"
"939","-","-","-","12.24","15.69","3878"
"938","-","3.93","5.72","12.23","15.68","3875"
"937","-","-","-","12.22","15.66","3871"
"936","1.71","-","5.71","12.21","15.65","3867"
"935","-","3.92","-","12.20","15.63","3863"
"934","-","-","5.70","-","15.61","3859"
"933","-","-","-","12.19","15.60","3856"
"932","-","3.91","5.69","12.18","15.58","3852"
"931","-","-","-","12.17","15.57","3848"
"930","-","-","-","12.16","15.55","3844"
"929","-","3.90","5.68","12.15","15.53","3840"
"928","-","-","-","12.14","15.52","3837"
"927","-","-","5.67","12.13","15.50","3833"
"926","1.70","3.89","-","12.12","15.49","3829"
"925","-","-","5.66","12.11","15.47","3825"
"924","-","-","-","12.10","15.45","3822"
"923","-","3.88","5.65","12.09","15.44","3818"
"922","-","-","-","12.08","15.42","3814"
"921","-","-","5.64","12.07","15.41","3810"
"920","-","3.87","-","12.06","15.39","3806"
"919","-","-","5.63","12.05","15.37","3803"
"918","-","-","-","12.04","15.36","3799"
"917","-","3.86","-","12.03","15.34","3795"
"916","1.69","-","5.62","12.02","15.33","3791"
"915","-","-","-","12.01","15.31","3787"
"914","-","3.85","5.61","12.00","15.29","3784"
"913","-","-","-","11.99","15.28","3780"
"912","-","-","5.60","11.98","15.26","3776"
"911","-","3.84","-","11.97","15.24","3772"
"910","-","-","5.59","11.96","15.23","3769"
"909","-","-","-","11.95","15.21","3765"
"908","-","3.83","5.58","11.94","15.20","3761"
"907","1.68","-","-","11.93","15.18","3757"
"906","-","-","5.57","11.92","15.16","3753"
"905","-","3.82","-","11.91","15.15","3750"
"904","-","-","-","11.90","15.13","3746"
"903","-","-","5.56","11.89","15.12","3742"
"902","-","3.81","-","11.88","15.10","3738"
"901","-","-","5.55","11.87","15.08","3734"
"900","-","-","-","11.86","15.07","3731"
"899","-","-","5.54","11.85","15.05","3727"
"898","-","3.80","-","11.84","15.04","3723"
"897","1.67","-","5.53","11.83","15.02","3719"
"896","-","-","-","11.82","15.00","3715"
"895","-","3.79","5.52","11.81","14.99","3712"
"894","-","-","-","11.80","14.97","3708"
"893","-","-","5.51","11.79","14.96","3704"
"892","-","3.78","-","11.78","14.94","3700"
"891","-","-","5.50","11.77","14.92","3696"
"890","-","-","-","11.76","14.91","3693"
"889","-","3.77","-","11.75","14.89","3689"
"888","1.66","-","5.49","11.74","14.87","3685"
"887","-","-","-","11.73","14.86","3681"
"886","-","3.76","5.48","11.72","14.84","3677"
"885","-","-","-","11.71","14.83","3674"
"884","-","-","5.47","11.70","14.81","3670"
"883","-","3.75","-","11.69","14.79","3666"
"882","-","-","5.46","11.68","14.78","3662"
"881","-","-","-","11.67","14.76","3658"
"880","-","3.74","5.45","11.66","14.75","3655"
"879","-","-","-","11.65","14.73","3651"
"878","1.65","-","5.44","11.64","14.71","3647"
"877","-","3.73","-","11.63","14.70","3643"
"876","-","-","-","11.62","14.68","3639"
"875","-","-","5.43","11.61","14.67","3636"
"874","-","3.72","-","11.60","14.65","3632"
"873","-","-","5.42","11.59","14.63","3628"
"872","-","-","-","11.58","14.62","3624"
"871","-","3.71","5.41","11.57","14.60","3620"
"870","-","-","-","11.56","14.58","3617"
"869","-","-","5.40","11.55","14.57","3613"
"868","1.64","3.70","-","11.54","14.55","3609"
"867","-","-","5.39","11.53","14.54","3605"
"866","-","-","-","11.52","14.52","3601"
"865","-","3.69","5.38","11.51","14.50","3598"
"864","-","-","-","11.50","14.49","3594"
"863","-","-","5.37","11.49","14.47","3590"
"862","-","3.68","-","11.48","14.46","3586"
"861","-","-","-","11.47","14.44","3582"
"860","-","-","5.36","11.46","14.42","3579"
"859","1.63","3.67","-","11.45","14.41","3575"
"858","-","-","5.35","11.44","14.39","3571"
"857","-","-","-","11.43","14.38","3567"
"856","-","3.66","5.34","11.42","14.36","3563"
"855","-","-","-","11.41","14.34","3560"
"854","-","-","5.33","11.40","14.33","3556"
"853","-","3.65","-","11.39","14.31","3552"
"852","-","-","5.32","11.38","14.29","3548"
"851","-","-","-","11.37","14.28","3544"
"850","-","3.64","5.31","11.36","14.26","3541"
"849","1.62","-","-","11.35","14.25","3537"
"848","-","-","5.30","11.34","14.23","3533"
"847","-","3.63","-","11.33","14.21","3529"
"846","-","-","-","11.32","14.20","3525"
"845","-","-","5.29","11.31","14.18","3521"
"844","-","3.62","-","11.30","14.17","3518"
"843","-","-","5.28","11.29","14.15","3514"
"842","-","-","-","11.28","14.13","3510"
"841","-","3.61","5.27","11.27","14.12","3506"
"840","1.61","-","-","11.26","14.10","3502"
"839","-","-","5.26","11.25","14.09","3499"
"838","-","3.60","-","11.24","14.07","3495"
"837","-","-","5.25","11.23","14.05","3491"
"836","-","-","-","11.22","14.04","3487"
"835","-","3.59","5.24","11.21","14.02","3483"
"834","-","-","-","11.20","14.00","3480"
"833","-","-","5.23","11.19","13.99","3476"
"832","-","-","-","11.18","13.97","3472"
"831","-","3.58","-","11.17","13.96","3468"
"830","1.60","-","5.22","11.16","13.94","3464"
"829","-","-","-","11.15","13.92","3460"
"828","-","3.57","5.21","11.14","13.91","3457"
"827","-","-","-","11.13","13.89","3453"
"826","-","-","5.20","11.12","13.88","3449"
"825","-","3.56","-","11.11","13.86","3445"
"824","-","-","5.19","11.10","13.84","3441"
"823","-","-","-","11.09","13.83","3438"
"822","-","3.55","5.18","11.08","13.81","3434"
"821","-","-","-","11.07","13.80","3430"
"820","1.59","-","5.17","11.06","13.78","3426"
"819","-","3.54","-","11.05","13.76","3422"
"818","-","-","5.16","11.04","13.75","3418"
"817","-","-","-","11.03","13.73","3415"
"816","-","3.53","-","11.02","13.71","3411"
"815","-","-","5.15","11.01","13.70","3407"
"814","-","-","-","11.00","13.68","3403"
"813","-","3.52","5.14","10.99","13.67","3399"
"812","-","-","-","10.98","13.65","3396"
"811","1.58","-","5.13","10.97","13.63","3392"
"810","-","3.51","-","10.96","13.62","3388"
"809","-","-","5.12","10.95","13.60","3384"
"808","-","-","-","10.94","13.59","3380"
"807","-","3.50","5.11","10.93","13.57","3376"
