"Points","100m","100mH","200m","300m","400m","400mH","4x100m","4x200m","4x400m"
"1083","11.55","13.50","23.52","37.66","53.14","57.94","45.26","1:35.28","3:36.68"
"1082","-","13.51","23.53","37.68","53.16","57.97","45.29","1:35.33","3:36.80"
"1081","11.56","-","23.54","37.70","53.19","58.00","45.31","1:35.39","3:36.92"
"1080","-","13.52","23.55","37.72","53.22","58.04","45.34","1:35.44","3:37.05"
"1079","11.57","13.53","23.56","37.73","53.24","58.07","45.36","1:35.49","3:37.17"
"1078","-","13.54","23.57","37.75","53.27","58.10","45.39","1:35.55","3:37.29"
"1077","11.58","-","23.58","37.77","53.29","58.14","45.41","1:35.60","3:37.41"
"1076","-","13.55","23.59","37.79","53.32","58.17","45.44","1:35.66","3:37.53"
"1075","11.59","13.56","23.60","37.81","53.35","58.20","45.46","1:35.71","3:37.66"
"1074","-","13.57","23.61","37.83","53.37","58.24","45.48","1:35.76","3:37.78"
"1073","-","13.58","23.62","37.84","53.40","58.27","45.51","1:35.82","3:37.90"
"1072","11.60","-","23.63","37.86","53.43","58.30","45.53","1:35.87","3:38.02"
"1071","-","13.59","23.64","37.88","53.45","58.34","45.56","1:35.93","3:38.14"
"1070","11.61","13.60","23.65","37.90","53.48","58.37","45.58","1:35.98","3:38.27"
"1069","-","13.61","23.66","37.92","53.51","58.40","45.61","1:36.04","3:38.39"
"1068","11.62","-","23.67","37.93","53.53","58.44","45.63","1:36.09","3:38.51"
"1067","-","13.62","23.68","37.95","53.56","58.47","45.66","1:36.14","3:38.63"
"1066","11.63","13.63","23.69","37.97","53.58","58.50","45.68","1:36.20","3:38.76"
"1065","-","13.64","23.70","37.99","53.61","58.54","45.70","1:36.25","3:38.88"
"1064","11.64","-","23.71","38.01","53.64","58.57","45.73","1:36.31","3:39.00"
"1063","-","13.65","23.72","38.03","53.66","58.60","45.75","1:36.36","3:39.12"
"1062","11.65","13.66","23.73","38.04","53.69","58.64","45.78","1:36.42","3:39.25"
"1061","-","13.67","23.74","38.06","53.72","58.67","45.80","1:36.47","3:39.37"
"1060","11.66","13.68","23.75","38.08","53.74","58.70","45.83","1:36.52","3:39.49"
"1059","-","-","23.76","38.10","53.77","58.74","45.85","1:36.58","3:39.62"
"1058","11.67","13.69","23.77","38.12","53.80","58.77","45.88","1:36.63","3:39.74"
"1057","-","13.70","23.78","38.14","53.82","58.81","45.90","1:36.69","3:39.86"
"1056","11.68","13.71","23.79","38.15","53.85","58.84","45.93","1:36.74","3:39.98"
"1055","-","-","23.80","38.17","53.88","58.87","45.95","1:36.80","3:40.11"
"1054","11.69","13.72","23.81","38.19","53.90","58.91","45.98","1:36.85","3:40.23"
"1053","-","13.73","23.82","38.21","53.93","58.94","46.00","1:36.91","3:40.35"
"1052","11.70","13.74","23.83","38.23","53.96","58.97","46.02","1:36.96","3:40.48"
"1051","-","-","23.84","38.25","53.98","59.01","46.05","1:37.02","3:40.60"
"1050","11.71","13.75","23.85","38.27","54.01","59.04","46.07","1:37.07","3:40.72"
"1049","-","13.76","23.86","38.28","54.04","59.08","46.10","1:37.13","3:40.85"
"1048","11.72","13.77","23.87","38.30","54.06","59.11","46.12","1:37.18","3:40.97"
"1047","-","13.78","23.88","38.32","54.09","59.14","46.15","1:37.24","3:41.09"
"1046","11.73","-","23.90","38.34","54.12","59.18","46.17","1:37.29","3:41.22"
"1045","-","13.79","23.91","38.36","54.14","59.21","46.20","1:37.34","3:41.34"
"1044","11.74","13.80","23.92","38.38","54.17","59.24","46.22","1:37.40","3:41.47"
"1043","-","13.81","23.93","38.39","54.20","59.28","46.25","1:37.45","3:41.59"
"1042","11.75","-","23.94","38.41","54.22","59.31","46.27","1:37.51","3:41.71"
"1041","-","13.82","23.95","38.43","54.25","59.35","46.30","1:37.56","3:41.84"
"1040","11.76","13.83","23.96","38.45","54.28","59.38","46.32","1:37.62","3:41.96"
"1039","-","13.84","23.97","38.47","54.30","59.41","46.35","1:37.67","3:42.09"
"1038","11.77","13.85","23.98","38.49","54.33","59.45","46.37","1:37.73","3:42.21"
"1037","-","-","23.99","38.51","54.36","59.48","46.40","1:37.78","3:42.33"
"1036","11.78","13.86","24.00","38.52","54.38","59.52","46.42","1:37.84","3:42.46"
"1035","-","13.87","24.01","38.54","54.41","59.55","46.45","1:37.89","3:42.58"
"1034","11.79","13.88","24.02","38.56","54.44","59.58","46.47","1:37.95","3:42.71"
"1033","-","-","24.03","38.58","54.46","59.62","46.50","1:38.01","3:42.83"
"1032","11.80","13.89","24.04","38.60","54.49","59.65","46.52","1:38.06","3:42.96"
"1031","-","13.90","24.05","38.62","54.52","59.69","46.55","1:38.12","3:43.08"
"1030","11.81","13.91","24.06","38.64","54.55","59.72","46.57","1:38.17","3:43.21"
"1029","-","13.92","24.07","38.65","54.57","59.75","46.60","1:38.23","3:43.33"
"1028","11.82","-","24.08","38.67","54.60","59.79","46.62","1:38.28","3:43.45"
"1027","-","13.93","24.09","38.69","54.63","59.82","46.65","1:38.34","3:43.58"
"1026","11.83","13.94","24.10","38.71","54.65","59.86","46.67","1:38.39","3:43.70"
"1025","-","13.95","24.11","38.73","54.68","59.89","46.70","1:38.45","3:43.83"
"1024","-","-","24.12","38.75","54.71","59.93","46.72","1:38.50","3:43.95"
"1023","11.84","13.96","24.13","38.77","54.73","59.96","46.75","1:38.56","3:44.08"
"1022","-","13.97","24.14","38.79","54.76","59.99","46.77","1:38.61","3:44.20"
"1021","11.85","13.98","24.15","38.80","54.79","1:00.03","46.80","1:38.67","3:44.33"
"1020","-","13.99","24.17","38.82","54.82","1:00.06","46.82","1:38.72","3:44.45"
"1019","11.86","-","24.18","38.84","54.84","1:00.10","46.85","1:38.78","3:44.58"
"1018","-","14.00","24.19","38.86","54.87","1:00.13","46.87","1:38.84","3:44.71"
"1017","11.87","14.01","24.20","38.88","54.90","1:00.17","46.90","1:38.89","3:44.83"
"1016","-","14.02","24.21","38.90","54.92","1:00.20","46.92","1:38.95","3:44.96"
"1015","11.88","14.03","24.22","38.92","54.95","1:00.23","46.95","1:39.00","3:45.08"
"1014","-","-","24.23","38.93","54.98","1:00.27","46.97","1:39.06","3:45.21"
"1013","11.89","14.04","24.24","38.95","55.01","1:00.30","47.00","1:39.11","3:45.33"
"1012","-","14.05","24.25","38.97","55.03","1:00.34","47.02","1:39.17","3:45.46"
"1011","11.90","14.06","24.26","38.99","55.06","1:00.37","47.05","1:39.23","3:45.58"
"1010","-","-","24.27","39.01","55.09","1:00.41","47.07","1:39.28","3:45.71"
"1009","11.91","14.07","24.28","39.03","55.11","1:00.44","47.10","1:39.34","3:45.84"
"1008","-","14.08","24.29","39.05","55.14","1:00.48","47.12","1:39.39","3:45.96"
"1007","11.92","14.09","24.30","39.07","55.17","1:00.51","47.15","1:39.45","3:46.09"
"1006","-","14.10","24.31","39.09","55.20","1:00.54","47.17","1:39.50","3:46.21"
"1005","11.93","-","24.32","39.10","55.22","1:00.58","47.20","1:39.56","3:46.34"
"1004","-","14.11","24.33","39.12","55.25","1:00.61","47.22","1:39.62","3:46.47"
"1003","11.94","14.12","24.34","39.14","55.28","1:00.65","47.25","1:39.67","3:46.59"
"1002","-","14.13","24.35","39.16","55.30","1:00.68","47.27","1:39.73","3:46.72"
"1001","11.95","14.14","24.37","39.18","55.33","1:00.72","47.30","1:39.78","3:46.85"
"1000","-","-","24.38","39.20","55.36","1:00.75","47.33","1:39.84","3:46.97"
"999","11.96","14.15","24.39","39.22","55.39","1:00.79","47.35","1:39.90","3:47.10"
"998","-","14.16","24.40","39.24","55.41","1:00.82","47.38","1:39.95","3:47.23"
"997","11.97","14.17","24.41","39.26","55.44","1:00.86","47.40","1:40.01","3:47.35"
"996","-","14.18","24.42","39.27","55.47","1:00.89","47.43","1:40.07","3:47.48"
"995","11.98","-","24.43","39.29","55.50","1:00.93","47.45","1:40.12","3:47.61"
"994","-","14.19","24.44","39.31","55.52","1:00.96","47.48","1:40.18","3:47.73"
"993","11.99","14.20","24.45","39.33","55.55","1:00.99","47.50","1:40.23","3:47.86"
"992","-","14.21","24.46","39.35","55.58","1:01.03","47.53","1:40.29","3:47.99"
"991","-","14.22","24.47","39.37","55.61","1:01.06","47.55","1:40.35","3:48.11"
"990","12.01","-","24.48","39.39","55.63","1:01.10","47.58","1:40.40","3:48.24"
"989","-","14.23","24.49","39.41","55.66","1:01.13","47.60","1:40.46","3:48.37"
"988","12.02","14.24","24.50","39.43","55.69","1:01.17","47.63","1:40.52","3:48.50"
"987","-","14.25","24.51","39.45","55.72","1:01.20","47.66","1:40.57","3:48.62"
"986","12.03","14.26","24.52","39.46","55.74","1:01.24","47.68","1:40.63","3:48.75"
"985","-","-","24.53","39.48","55.77","1:01.27","47.71","1:40.68","3:48.88"
"984","12.04","14.27","24.55","39.50","55.80","1:01.31","47.73","1:40.74","3:49.00"
"983","-","14.28","24.56","39.52","55.83","1:01.34","47.76","1:40.80","3:49.13"
"982","12.05","14.29","24.57","39.54","55.85","1:01.38","47.78","1:40.85","3:49.26"
"981","-","14.30","24.58","39.56","55.88","1:01.41","47.81","1:40.91","3:49.39"
"980","12.06","-","24.59","39.58","55.91","1:01.45","47.83","1:40.97","3:49.52"
"979","-","14.31","24.60","39.60","55.94","1:01.48","47.86","1:41.02","3:49.64"
"978","12.07","14.32","24.61","39.62","55.96","1:01.52","47.89","1:41.08","3:49.77"
"977","-","14.33","24.62","39.64","55.99","1:01.55","47.91","1:41.14","3:49.90"
"976","12.08","14.34","24.63","39.65","56.02","1:01.59","47.94","1:41.19","3:50.03"
"975","-","-","24.64","39.67","56.05","1:01.62","47.96","1:41.25","3:50.16"
"974","12.09","14.35","24.65","39.69","56.07","1:01.66","47.99","1:41.31","3:50.28"
"973","-","14.36","24.66","39.71","56.10","1:01.69","48.01","1:41.37","3:50.41"
"972","12.10","14.37","24.67","39.73","56.13","1:01.73","48.04","1:41.42","3:50.54"
